index,tag
505,1
345,1
1879,7
2079,9
394,1
2000,9
862,3
1753,2
212,0
1407,4
262,0
2132,9
1518,4
773,2
1122,3
327,1
2226,9
1460,4
1438,4
481,1
1959,8
426,1
1041,3
2225,9
1909,8
175,0
1856,7
1538,4
1270,4
1004,3
66,0
564,2
2121,9
890,3
547,2
371,1
1667,6
978,3
779,3
928,3
186,0
1964,8
1954,8
1622,5
1307,4
990,3
1699,6
61,0
359,1
1486,4
305,1
1501,4
605,2
102,0
909,3
273,0
1046,3
361,1
236,0
472,1
1807,7
1005,3
687,2
2084,9
159,0
1224,4
225,0
2034,9
260,0
1416,4
1743,6
1441,4
1129,3
756,2
622,2
1263,4
2208,9
1457,4
1558,5
1711,6
1824,7
246,0
835,3
1320,4
1890,8
1161,3
571,2
637,2
712,2
208,0
1974,8
54,0
1989,9
1799,7
1504,4
1546,5
2023,9
570,2
850,3
250,0
2118,9
1430,4
1101,3
124,0
504,1
1218,4
635,2
1562,5
2128,9
879,3
1896,8
166,0
1611,5
116,0
1555,5
266,0
1025,3
1668,6
425,1
1881,7
809,3
334,1
754,2
531,2
1814,7
398,1
1056,3
1747,6
49,0
510,1
2065,9
2026,9
736,2
1789,7
1459,4
1201,4
1703,6
477,1
1103,3
1831,7
1054,3
1873,7
503,1
1940,8
76,0
912,3
722,2
1144,3
152,0
699,2
925,3
567,2
1099,3
1821,7
1669,6
1750,6
1951,8
1483,4
849,3
289,0
533,2
1851,7
883,3
340,1
1090,3
224,0
1756,2
2200,9
2161,9
981,3
2139,9
307,1
474,1
801,3
476,1
1660,6
1604,5
765,2
357,1
299,1
277,0
438,1
866,3
1062,3
44,0
449,1
423,1
2123,9
1292,4
825,3
882,3
1933,8
848,3
711,2
1662,6
193,0
805,3
2025,9
949,3
301,1
1474,4
1751,2
1030,3
1328,4
87,0
375,1
1243,4
93,0
1414,4
1060,3
1523,4
1689,6
1759,2
857,3
600,2
366,1
1520,4
1912,8
1651,6
1170,4
243,0
1978,9
160,0
643,2
1539,4
876,3
539,2
1687,6
77,0
1889,7
1643,5
1376,4
746,2
121,0
1377,4
2068,9
1853,7
1710,6
1998,9
369,1
1624,5
1189,4
2061,9
568,2
1012,3
1512,4
861,3
339,1
2053,9
1273,4
1514,4
2115,9
5,0
991,3
689,2
1715,6
211,0
2,0
1100,3
1793,7
961,3
894,3
2099,9
937,3
1870,7
1011,3
1190,4
951,3
349,1
1716,6
1169,4
146,0
1040,3
1456,4
1733,6
1347,4
933,3
1663,6
1626,5
969,3
608,2
869,3
1932,8
1188,4
1607,5
1480,4
766,2
964,3
1298,4
1173,4
1435,4
621,2
499,1
309,1
1917,8
310,1
729,2
1728,6
827,3
1104,3
1948,8
1958,8
1080,3
377,1
1242,4
1550,5
1858,7
751,2
782,3
851,3
1911,8
1345,4
442,1
929,3
1102,3
2108,9
1581,5
1597,5
2135,9
496,1
558,2
1035,3
213,0
1211,4
117,0
840,3
1138,3
612,2
2166,9
1234,4
1740,6
1676,6
181,0
715,2
81,0
92,0
1326,4
