index,query
505,you promised to deliver the phone before mothers day. where is it?
345,i have doubt that my item will be late
1879,where is same-day delivery available
2079,when does your store open?
394,my order has a status of pending. when will it ship?
2000,what time does the store open during the week?
862,can you please tell me what is going on with my order?
1753,i ordered the wrong amount of products and need to add more items to my order.
212,charged for canceled order
1407,i need medium pump shoes in a size 9
262,how do i cancel an order ive made?
2132,what is the schedule of your new york stores?
1518,when are they suppose be available
773,refresh my cart
1122,i still have not received my device
327,can you tell me when my pending order will ship?
2226,how late are you open today?
1460,can you check the availability of the mobile phone iwant at your stores?
1438,yes i just wanna know when is the lg v30 gonna be available in stores
481,do you know when my order will ship?
1959,i want to know how many stores do you have in new york?
426,why havent i gottten my order by now?
1041,hello i need some help. i ordered a apple watch on saturday october 14 and the representative informed me i would sign a disclosure on line which i did . it sent me an email afterwards confirming my signature and it set i could review my order now i have no confirmation and i can not see my order at all. i would like to know the status please
2225,what are your store hours on memorial day?
1909,do you know how many stores in new york?
175,this order isnt going to work for me anymore
1856,how do i place an order for same day delivery?
1538,i would like to buy your item
1270,is this match for me?
1004,when will this ship
66,why the hell did you charge me for a canceled order?
564,i just placed an order and need to modify it
2121,are any of your locations open later than others?
890,no issue i need track other phone
547,i ordered a pair of trainers
371,i placed an order but while my order has been processed
1667,ive place my order but would like to change the shipping address.
978,how long would it take for me to receive my order
779,i want to track my order
928,when will my package come?
186,is there a re-stocking fee if i cancel?
1964,closest store to my location
1954,i want to know your store in san francisco?
1622,would you please tell me how i would find reviews for this dress
1307,what new sneakers do you have?
990,where do i go to check the status of my shipment?
1699,i am not available at the venue in order
61,how can i get a confirmation that my order was cancelled?
359,i placed an order several days ago
1486,okay one more crazy question....what phones do we have? is there still a galaxy?
305,this is the third time ive called about the phone i ordered three weeks ago. its still not here! check my order status and find out if its ever going to arrive!
1501,do you know when my phone will be in stock again?
605,i would like to order a second phone to the plan i jyst purchased. how can you help me?
102,charge for cancelling order?
909,what is the problem with my order?
273,what do i need to do to cancel?
1046,hi when will i receive my new iphone 8? i placed an order and the order is 7101472610
361,i need to know the current status of my order
236,i decided against using your company and i would like to cancel my order. what is your policy?
472,so in still waiting for the iphone 8 plus gold
1807,if i pay for this now can it be send to me today?
1005,shipping date please?
687,could you deduct the suit from my cart?
2084,what are the timings of your new york stores?
159,is it possible to cancel my purchase?
1224,hi is true that nike+ watch is in stock?
225,if i cancel my order right now
2034,what are the daily hours to the pantene stores?
260,how do i go about cancelling an order that i placed?
1416,"i am shopping for next season, do you have any skirts in for the fall line yet"
1743,i need to change the shipping address on an existing order
1441,do you know when you are expecting a restock on the new phone?
1129,i want to know about the expected delivery date of my order placed with you.
756,i want to change the color of the item i ordered from black to white.
622,i just bought [name of product] from you guys and i was wondering if it was possible for me to add another set to my order
1263,i would like to see the bras you sell.
2208,what are the normal store hours?
1457,okay. is the watch available in stores?
1558,how many reviews of the air force 1. ?
1711,i have accidentally shipped my product to wrong address.
1824,what methods of delivery do you offer?
246,how long do i have to cancel and still get a refund?
835,i want to make sure someone is home when the order arrives. can you give me a delivery date?
1320,how can i see specific categories of clothing
1890,can i get directions to your store in cleveland?
1161,i ordered the new iphone 8 plus yesterday with overnight shipping. could you check if it will be delivered today?
571,i placed an order for services yesterday
637,is there still time to customize my order?
712,i want to update my cart items .
208,will i be refunded if i cancel?
1974,how many locations do you have throughout the united states?
54,kindly let me know what your order cancellation policy is.
1989,what time do your stores open in the morning.
1799,does it cost extra for same day delivery?
1504,when do you anticipate having that phone available?
1546,best handbag reviews?
2023,what is your operating schedule?
570,i just placed an order
850,is my order still in transit?
250,i got the wrong proudct . how can i cancel it?
2118,how early do your stores open in the morning?
1430,when will the item be in stock?
1101,whats the expected delivery date of my order?
124,just place a cancellation request
504,how long will it be before my order will be shipped?
1218,dresses please.
635,id like to change something in my order. is that possible?
1562,"i need to find all the reviews for these pants, where do i go?"
2128,do your stores in pittsburgh open by 9 o'clock?
879,i have purchased multiple handsets. can i track the status of all of my orders at the same time?
1896,where is your portland store located
166,can you please cancel my order since it hasnt arrived yet?
1611,reviews by peoples
116,so i need to talk to somone to cancel
1555,customer feedback for watch
266,how do i cancel an order i placed for store pickup?
1025,please let me know how i can track my order?
1668,please help me to change shipping address. my order has already been placed.
425,how come i never got my order?
1881,what available plans are there?
809,i recently placed an order with your company and need to know the delivery date of my order.
334,i havent received my order yet. do you have tracking information?
754,modify my order
531,change order to only one
1814,do you ship on weekends?
398,my order has been processed and i was wondering how long it will be before it ships?
1056,"i had a request two days ago . i want to know some status about it , if you can check it for me, thank you"
1747,my shipping address is wrong.
49,when the cancellation take effect?
510,hello i am trying to track my device that was supposed to be delivered today at the latest. via ups mail next day delivery yet i do not have it in the mail has already been delivered
2065,what are your store hours today?
2026,what time do you open today?
736,can i modify an order?
1789,is there a same day option for this order if i pay extra?
1459,you ran out of the item that i wish to buy. do you have any available in store?
1201,can you show me women's hoes in size 7
1703,can i change the address i have the package shipped to?
477,"what i'm confused about is that i pre-ordered the device the day that it was released, which is nearly a month ago, and now the current shipping date is anywhere from the start of november, to the end."
1103,whats the status of the order?
1831,what are the delivery charges for fast track delivery
1054,how is my order status
1873,can you please provide details about your most inexpensive expenditures for shipping?
503,how long will it take for my order to be shipped once it has been processed?
1940,what is the address of your store?
76,the order is so late to arrive. please cancel it
912,replacement phone ordered where is it
722,remove nike from cart
1144,and how can i track my order for my new apple watch
152,is there a cancellation fee for cancelling orders?
699,how to change the quantity in my cart
925,when will order arrive?
567,would you be able to help me modify the order i just place?
1099,when will my phone arrive
1821,what are your delivery plans?
1669,is it ok if i use another address?
1750,i want to receive my bill into my po box address. how can i change it
1951,how many stores do you have in new york?
1483,you show the xyz phone is out of stock online; are these available in stores in my area?
849,can you please give me an honest answer for when my order will be shipped?
289,for some reason your is rejecting me canceling my order can you please cancel my order in your system.
533,change quantity of my order
1851,what can you do for me if i need to receive this item today?
883,will i receive it today?
340,its been a month since i was promised a quick delivery but i havent received the device
1090,what is my order status
224,what fees will i have to pay for cancelling?
1756,can you alter my last order?
2200,do you close for lunch?
2161,"i'd love to shop at your store, what are the hours of operation?"
981,what is the details of my order?
2139,what are you your weekend hours?
307,i need to know if i should just cancel my order since i havent received it.
474,the order # is s035718712 i placed the order last thursday and was told it would be sent out by the 16th but nothing has been sent yet.
801,what is the current status of my order?
476,we order a new iphone 8 plus gold and i didnt get the order status i just wanna know when is gonna get here
1660,change shipping address?
1604,how do people appreciate this product?
765,change the quantity on my cary
357,yet again im calling for my order status.
299,why has my order not shipped yet?
277,how do i cancel an order i placed thats backordered?
438,hello i wanted to know update on my order for shipping they told me it will be today
866,can i have look on my product status?
1062,i placed an order for an ipad pro 10.5 space gray and i would like to know the status of the order.
44,am i able to cancel my recent order as i have made a mistake?
449,i just wanted to confrm that my order was made because i didnt receive any order number
423,why is it taking so long for someone to get back to me about my order?
2123,what time do your stores close on weekends?
1292,show the sneakers
825,updates on my order?
882,that would be a great help if you could tell me delivery date.
1933,list out the newyork stores?
848,ok. please can you let me know when the phone will arrive.
711,"i really thought that i wanted that kimono, but i don't think it is 100% silk, so remove it please."
1662,change shipping address on order?
193,i no longer need this order
805,i need another order update because my shipment hasnt arrived.
2025,what time does the store close?
949,i placed my order and i want to know when i can expect to have it delivered.
301,i have already called and spoken to three different people about this. if i need to cancel my order i will. can you please tell me what i need to do?
1474,can you let me know when the iphone 7 is available for purchase?
1751,i need to modify my order
1030,what happened to the order i placed?
1328,i want a phone that is out of stock on your website; is it available in a store near me?
87,i dont want my order anymore. are you able to help me cancel my last order?
375,my phone was supposed to arrive yesterday but still has not come
1243,i like to buy sneaker to my friend can you show the sneakers which you have now.
93,what is the process to cancel my order?
1414,i want to see skirts for the fall season
1060,i need to know the status of my rebate. thanks
1523,wondering whats available
1689,can you please change address as address mentioned earlier is incorrect?
1759,is there still time to customize my order?
857,can you tell me where to click to get order status and tracking info?
600,how can changes be done now?
366,i have placed an order with your company and i didnt receive any information on when exactly my order would be delivered to me.
1520,how much are they and are they available in your stores
1912,what the store in san fransisco?
1651,can i change my delivery address
1170,backpacks please?
243,i need to cancel my order and was wondering what i have to pay to do so.
1978,can you tell me what hours your different stores operate?
160,can i cancel my order without repercussions?
643,is it possible to modify now?
1539,how do i check if an item is available
876,can you show me the status of my last order?
539,change my shipping method to express shipping instead of the ground shipping.
1687,can you guys deliver my product on the different address
77,i changed my mind about this order
1889,is it lik next day shipping?
1643,does this have any reviews
1376,i want to look at dresses.
746,would i be able to customize the item i ordered?
121,i am frustrated in waiting for my order. i would like to cancel it now.
1377,i would like some good quality gym shoes.
2068,how late are you open on saturday?
1853,what plan do you have for shipping an item
1710,do you offer in store pick up instead of home delivery?
1998,are you open regular hours on thanksgiving?
369,when i track the status of my phone order
1624,good reviews for sunglasses
1189,can i show sneakers?
2061,what time do your stores normally open?
568,i just placed my order but can i still add a monogram?
1012,on what date can i expect my order to arrive as i would like to be there in person to sign for it.
1512,when will you be getting more?
861,can you give me a status update on my order?
339,i ordered a prepaid phone with accessories over 3 weeks ago. i paid extra for overnight shipping.
2053,how do i know when you guys close?
1273,"iwant o buy the sneakers for my uncle ,would you please show the sneakers"
1514,when do you gone a have the new iphone x
2115,all your stores are running on same time schedule?
5,"hi how&rsquo;re you, i&rsquo;m wondering if it&rsquo;s possible to cancel an order on the apple watch 3 that i&rsquo;ve ordered, i spoke with a person who said it should be here next week but i see that it&rsquo;s back ordered &amp; will take a while to get here. can i cancel &amp; get a refund?"
991,what is the status of my order? its been delayed once already.
689,do you comfortable on updating my cart ?
1715,how do i change the delivery address?
211,i have changed my mind and no longer want my order
2,"can you cancel my most recent order? the trade in was supposed to take from the price, but it didn't."
1100,whats my expected delivery date?
1793,if you cant do same day delivery
961,when do you think my order will arrive?
894,i would like to get estimated shipping dates for my pending order
